año,estado,mes,modalidad,cred,monto
,,,Vivienda Usada,98,69263332.69
,Ciudad de México,enero,Vivienda Nueva,18,16139108.29
,,,Vivienda Usada,11,8469610.1
,,febrero,Vivienda Nueva,73,54217641.64
,,,Vivienda Usada,87,69397875.51
,,marzo,Vivienda Nueva,64,39371468.59
,,,Vivienda Usada,112,78521087.29
,,abril,Vivienda Nueva,52,36324231.64
,,,Vivienda Usada,91,66817258
,,mayo,Vivienda Nueva,53,36985298.49
,,,Vivienda Usada,86,58859325.36
,,junio,Vivienda Nueva,79,55514260.15
,,,Vivienda Usada,132,101564644.1
,,julio,Vivienda Nueva,93,68580333.36
,,,Vivienda Usada,172,141290329.6
,,agosto,Vivienda Nueva,114,93579391.21
,,,Vivienda Usada,177,146312290.9
,,septiembre,Vivienda Nueva,127,98251545.92
,,,Vivienda Usada,186,166325645.9
,,octubre,Vivienda Nueva,170,138202012.7
,,,Vivienda Usada,292,253764240
,,noviembre,Vivienda Nueva,111,89540408.14
,,,Vivienda Usada,207,162736451.9
,,diciembre,Vivienda Nueva,116,81365917.36
,,,Vivienda Usada,196,148222490
,Coahuila de Zaragoza,enero,Vivienda Nueva,22,14724960.32
,,,Vivienda Usada,14,10920277.38
,,febrero,Vivienda Nueva,43,26904373.34
,,,Vivienda Usada,30,22771695.62
,,marzo,Vivienda Nueva,48,32588203.83
,,,Vivienda Usada,88,52130628.51
,,abril,Vivienda Nueva,47,34310098.44
,,,Vivienda Usada,42,25928953.32
,,mayo,Vivienda Nueva,46,36680661.61
,,,Vivienda Usada,53,35476586.08
,,junio,Vivienda Nueva,25,16828737.77
,,,Vivienda Usada,76,56908956.21
,,julio,Vivienda Nueva,34,23560162.85
,,,Vivienda Usada,52,37955566.99
,,agosto,Vivienda Nueva,64,49610538.31
,,,Vivienda Usada,49,39708893.94
,,septiembre,Vivienda Nueva,57,40272000.79
,,,Vivienda Usada,47,38352892.48
,,octubre,Vivienda Nueva,78,54054897.67
,,,Vivienda Usada,95,68171052.33
,,noviembre,Vivienda Nueva,53,33381612.36
,,,Vivienda Usada,52,31754331.12
,,diciembre,Vivienda Nueva,37,25001826.5
,,,Vivienda Usada,51,34233660.69
,Colima,enero,Vivienda Nueva,11,6648650.22
,,,Vivienda Usada,6,4442917.02
,,febrero,Vivienda Nueva,21,13423806.42
,,,Vivienda Usada,22,14558679.78
,,marzo,Vivienda Nueva,49,27024764.57
,,,Vivienda Usada,34,21984996.88
,,abril,Vivienda Nueva,30,20566633.9
,,,Vivienda Usada,24,16111850.09
,,mayo,Vivienda Nueva,41,30574124.78
,,,Vivienda Usada,26,19464395.33
,,junio,Vivienda Nueva,32,25312518.8
,,,Vivienda Usada,13,10278487.18
,,julio,Vivienda Nueva,25,19755685.93
,,,Vivienda Usada,27,16924511.76
,,agosto,Vivienda Nueva,35,25480913.34
,,,Vivienda Usada,26,16610614.1
,,septiembre,Vivienda Nueva,46,25990651.12
,,,Vivienda Usada,18,12720937.9
,,octubre,Vivienda Nueva,41,26116684.53
,,,Vivienda Usada,34,24067307.24
,,noviembre,Vivienda Nueva,36,20070332.24
,,,Vivienda Usada,27,16541132.71
,,diciembre,Vivienda Nueva,32,20987853.31
,,,Vivienda Usada,20,13966094.8
,Durango,enero,Vivienda Nueva,14,8378754.04
,,,Vivienda Usada,11,7857209.46
,,febrero,Vivienda Nueva,55,33053170.33
,,,Vivienda Usada,24,18261733.59
,,marzo,Vivienda Nueva,68,38546250.7
,,,Vivienda Usada,68,41726488.19
,,abril,Vivienda Nueva,64,39531276.62
,,,Vivienda Usada,40,24311994.59
,,mayo,Vivienda Nueva,58,40551595.69
,,,Vivienda Usada,56,39761150.2
,,junio,Vivienda Nueva,53,34998549.7
,,,Vivienda Usada,89,62535972.42
,,julio,Vivienda Nueva,37,21798088.19
