año,estado,mes,modalidad,cred,monto
,,,Vivienda Usada,31,20178803.66
,,marzo,Vivienda Nueva,15,11759408.21
,,,Vivienda Usada,80,55315904.34
,,abril,Vivienda Nueva,15,10932045
,,,Vivienda Usada,48,34917643.71
,,mayo,Vivienda Nueva,14,10864535.1
,,,Vivienda Usada,92,69165967.67
,,junio,Vivienda Nueva,23,15702006.39
,,,Vivienda Usada,79,63718283.21
,,julio,Vivienda Nueva,8,5755746.73
,,,Vivienda Usada,72,53933038.25
,,agosto,Vivienda Nueva,13,9719240.41
,,,Vivienda Usada,59,45712290.63
,,septiembre,Vivienda Nueva,22,14102500.37
,,,Vivienda Usada,49,39328072.46
,,octubre,Vivienda Nueva,17,10353469.14
,,,Vivienda Usada,64,47115354.63
,,noviembre,Vivienda Nueva,13,9177835.25
,,,Vivienda Usada,69,49095581.34
,,diciembre,Vivienda Nueva,13,8507773.63
,,,Vivienda Usada,41,27922673.29
,Tamaulipas,enero,Vivienda Nueva,6,4567551.34
,,,Vivienda Usada,28,19698504.88
,,febrero,Vivienda Nueva,11,5760237.03
,,,Vivienda Usada,65,46363521.38
,,marzo,Vivienda Nueva,22,12151612.13
,,,Vivienda Usada,81,51288994.25
,,abril,Vivienda Nueva,20,13323448.99
,,,Vivienda Usada,60,40805218.91
,,mayo,Vivienda Nueva,19,12766044.51
,,,Vivienda Usada,94,66049990.6
,,junio,Vivienda Nueva,15,11770279.57
,,,Vivienda Usada,126,91618249.29
,,julio,Vivienda Nueva,28,20242979.11
,,,Vivienda Usada,123,94278093.24
,,agosto,Vivienda Nueva,31,22264533.68
,,,Vivienda Usada,159,126266917.8
,,septiembre,Vivienda Nueva,31,22129725.94
,,,Vivienda Usada,126,97326744.61
,,octubre,Vivienda Nueva,30,21544968.59
,,,Vivienda Usada,176,132984401.2
,,noviembre,Vivienda Nueva,23,14552699.54
,,,Vivienda Usada,127,92034463.8
,,diciembre,Vivienda Nueva,10,6328101.39
,,,Vivienda Usada,62,42399643.35
,Tlaxcala,enero,Vivienda Nueva,6,5160425.21
,,,Vivienda Usada,10,7234958.17
,,febrero,Vivienda Nueva,9,6133939.8
,,,Vivienda Usada,26,19193916.8
,,marzo,Vivienda Nueva,16,10694756.86
,,,Vivienda Usada,45,31498919.43
,,abril,Vivienda Nueva,12,7636185.76
,,,Vivienda Usada,10,6001756.82
,,mayo,Vivienda Nueva,12,7191734.16
,,,Vivienda Usada,35,27266047.55
,,junio,Vivienda Nueva,14,7618719.02
,,,Vivienda Usada,28,18976482.97
,,julio,Vivienda Nueva,14,8581225.87
,,,Vivienda Usada,27,19425392.4
,,agosto,Vivienda Nueva,13,7219113.71
,,,Vivienda Usada,44,33309012.67
,,septiembre,Vivienda Nueva,15,6893991.94
,,,Vivienda Usada,50,40388899.55
,,octubre,Vivienda Nueva,20,8118656.97
,,,Vivienda Usada,62,48826396.66
,,noviembre,Vivienda Nueva,14,6433795.68
,,,Vivienda Usada,27,21820413.33
,,diciembre,Vivienda Nueva,22,12539911.39
,,,Vivienda Usada,43,31742882.58
,Veracruz de Ignacio de la Llave,enero,Vivienda Nueva,28,18992561.81
,,,Vivienda Usada,108,85477857.1
,,febrero,Vivienda Nueva,99,66553530.83
,,,Vivienda Usada,178,130191789.7
,,marzo,Vivienda Nueva,141,95032745.88
,,,Vivienda Usada,312,195543595.6
,,abril,Vivienda Nueva,109,72242258.68
,,,Vivienda Usada,176,125811575.7
,,mayo,Vivienda Nueva,68,48650820.8
,,,Vivienda Usada,269,214161275.2
,,junio,Vivienda Nueva,43,29990620.94
,,,Vivienda Usada,303,233841490.2
,,julio,Vivienda Nueva,95,68754127.45
,,,Vivienda Usada,180,139294227.4
,,agosto,Vivienda Nueva,113,79881362.8
,,,Vivienda Usada,233,177534663.1
,,septiembre,Vivienda Nueva,85,53753925.54
,,,Vivienda Usada,259,207344804.6
,,octubre,Vivienda Nueva,77,55157618.01
,,,Vivienda Usada,298,217859967.7
,,noviembre,Vivienda Nueva,48,30325186.49
,,,Vivienda Usada,199,132309897.7
,,diciembre,Vivienda Nueva,57,33304034.47
,,,Vivienda Usada,191,135329189.6
,Yucatán,enero,Vivienda Nueva,15,10895619.81
,,,Vivienda Usada,13,10103161.59
,,febrero,Vivienda Nueva,43,27294727.26
,,,Vivienda Usada,40,29123073.86
,,marzo,Vivienda Nueva,68,45168061.76
,,,Vivienda Usada,75,48922803.69
,,abril,Vivienda Nueva,104,70935883.22
,,,Vivienda Usada,40,22970287.02
,,mayo,Vivienda Nueva,84,58847967.15
,,,Vivienda Usada,42,32674849.94
,,junio,Vivienda Nueva,70,50099994.32
,,,Vivienda Usada,37,26246679.33
,,julio,Vivienda Nueva,103,84517425.62
,,,Vivienda Usada,34,26928588.75
,,agosto,Vivienda Nueva,98,79041470.09
,,,Vivienda Usada,44,30886025.61
,,septiembre,Vivienda Nueva,75,59428804.11
,,,Vivienda Usada,38,32821793.17
,,octubre,Vivienda Nueva,123,91417907.03
,,,Vivienda Usada,48,34139172.38
,,noviembre,Vivienda Nueva,93,63688453.72
,,,Vivienda Usada,52,31845863.98
,,diciembre,Vivienda Nueva,68,46324387.55
,,,Vivienda Usada,46,34120034.58
,Zacatecas,enero,Vivienda Nueva,19,11472646.67
,,,Vivienda Usada,8,6148697.15
,,febrero,Vivienda Nueva,33,18825158
,,,Vivienda Usada,20,12722412.59
,,marzo,Vivienda Nueva,36,23970753.06
,,,Vivienda Usada,24,14256787.92
,,abril,Vivienda Nueva,24,14612821.74
,,,Vivienda Usada,24,15363431.98
,,mayo,Vivienda Nueva,57,39677075.07
,,,Vivienda Usada,27,16288686.59
,,junio,Vivienda Nueva,34,25041202
,,,Vivienda Usada,32,21058893.38
,,julio,Vivienda Nueva,25,14457603.94
,,,Vivienda Usada,26,17140213.93
,,agosto,Vivienda Nueva,29,15148545.57
,,,Vivienda Usada,19,12351750.91
,,septiembre,Vivienda Nueva,44,23390816.57
,,,Vivienda Usada,27,17332900.59
,,octubre,Vivienda Nueva,35,24115187.53
,,,Vivienda Usada,29,20693542.25
,,noviembre,Vivienda Nueva,32,15826510.7
,,,Vivienda Usada,26,16529268.01
,,diciembre,Vivienda Nueva,25,12417275.63
,,,Vivienda Usada,18,11003279.46
2020,Aguascalientes,enero,Vivienda Nueva,100,59480434.04
2020,Aguascalientes,,Vivienda Usada,40,23367486.4
2020,Aguascalientes,febrero,Vivienda Nueva,21,9697710.11
2020,Aguascalientes,,Vivienda Usada,6,2288931.83
2020,Aguascalientes,marzo,Vivienda Nueva,29,17433294.63
2020,Aguascalientes,,Vivienda Usada,7,4661929.9
2020,Aguascalientes,abril,Vivienda Nueva,41,28623415.55
2020,Aguascalientes,,Vivienda Usada,15,7436079.16
2020,Aguascalientes,mayo,Vivienda Nueva,41,28959543.91
2020,Aguascalientes,,Vivienda Usada,18,12580900.17
2020,Aguascalientes,junio,Vivienda Nueva,60,41196804.72
2020,Aguascalientes,,Vivienda Usada,16,10436986.78
2020,Baja California,enero,Vivienda Nueva,50,36492179.41
2020,Baja California,,Vivienda Usada,30,20204245.68
2020,Baja California,febrero,Vivienda Nueva,22,17703462.55
2020,Baja California,,Vivienda Usada,12,8876719.1
2020,Baja California,marzo,Vivienda Nueva,17,12609115.86
2020,Baja California,,Vivienda Usada,32,23464801.01
2020,Baja California,abril,Vivienda Nueva,5,3213190.64
2020,Baja California,,Vivienda Usada,19,15817791.92
2020,Baja California,mayo,Vivienda Nueva,19,14376893.25
2020,Baja California,,Vivienda Usada,13,9868794.77
2020,Baja California,junio,Vivienda Nueva,25,22651572.35
2020,Baja California,,Vivienda Usada,13,10802113.71
2020,Baja California Sur,enero,Vivienda Nueva,64,46184238.07
2020,Baja California Sur,,Vivienda Usada,68,42005945
2020,Baja California Sur,febrero,Vivienda Nueva,20,15271489.11
2020,Baja California Sur,,Vivienda Usada,26,15981228.6
2020,Baja California Sur,marzo,Vivienda Nueva,14,10156757.25
2020,Baja California Sur,,Vivienda Usada,21,11994570.81
2020,Baja California Sur,abril,Vivienda Nueva,19,15006204.93
2020,Baja California Sur,,Vivienda Usada,12,9307520.67
2020,Baja California Sur,mayo,Vivienda Nueva,22,18823042.44
2020,Baja California Sur,,Vivienda Usada,4,3051502.31
2020,Baja California Sur,junio,Vivienda Nueva,52,35297099.57
2020,Baja California Sur,,Vivienda Usada,32,22786124.63
2020,Campeche,enero,Vivienda Nueva,2,1620742.03
2020,Campeche,,Vivienda Usada,47,28076042.41
2020,Campeche,febrero,Vivienda Nueva,5,3765712.01
2020,Campeche,,Vivienda Usada,19,13778654.38
2020,Campeche,marzo,Vivienda Nueva,7,4745120.89
2020,Campeche,,Vivienda Usada,38,32107337.46
2020,Campeche,abril,Vivienda Nueva,1,599000
2020,Campeche,,Vivienda Usada,32,28543999.07
2020,Campeche,mayo,Vivienda Nueva,3,2612000
2020,Campeche,,Vivienda Usada,14,10167756.32
2020,Campeche,junio,Vivienda Nueva,3,2659058.85
2020,Campeche,,Vivienda Usada,19,16210258.51
2020,Chiapas,enero,Vivienda Nueva,71,51600101.07
2020,Chiapas,,Vivienda Usada,194,136779310.1
2020,Chiapas,febrero,Vivienda Nueva,38,28327728.54
2020,Chiapas,,Vivienda Usada,86,65826579.21
2020,Chiapas,marzo,Vivienda Nueva,63,45825159.67
2020,Chiapas,,Vivienda Usada,175,142688206.4
2020,Chiapas,abril,Vivienda Nueva,23,17075266.39
2020,Chiapas,,Vivienda Usada,69,57317323.42
2020,Chiapas,mayo,Vivienda Nueva,34,22385174.7
2020,Chiapas,,Vivienda Usada,74,54670689.26
2020,Chiapas,junio,Vivienda Nueva,48,32515139.02
2020,Chiapas,,Vivienda Usada,104,79599530.27
2020,Chihuahua,enero,Vivienda Nueva,97,68254367.8
2020,Chihuahua,,Vivienda Usada,182,114381819.4
2020,Chihuahua,febrero,Vivienda Nueva,45,33242075.56
2020,Chihuahua,,Vivienda Usada,84,57876059.81
2020,Chihuahua,marzo,Vivienda Nueva,45,32684796.34
2020,Chihuahua,,Vivienda Usada,101,77068366.83
2020,Chihuahua,abril,Vivienda Nueva,27,22885992.95
2020,Chihuahua,,Vivienda Usada,44,33164165.67
2020,Chihuahua,mayo,Vivienda Nueva,42,34047408.36
2020,Chihuahua,,Vivienda Usada,49,38016640.63
2020,Chihuahua,junio,Vivienda Nueva,74,61457314.33
2020,Chihuahua,,Vivienda Usada,69,54611901.85
2020,Ciudad de México,enero,Vivienda Nueva,134,99606527.86
2020,Ciudad de México,,Vivienda Usada,180,144296503.5
2020,Ciudad de México,febrero,Vivienda Nueva,78,64000404.91
2020,Ciudad de México,,Vivienda Usada,130,97810129.42
2020,Ciudad de México,marzo,Vivienda Nueva,84,54299696.61
2020,Ciudad de México,,Vivienda Usada,142,105903460.9
2020,Ciudad de México,abril,Vivienda Nueva,78,57014293.78
2020,Ciudad de México,,Vivienda Usada,89,69106441.61
2020,Ciudad de México,mayo,Vivienda Nueva,79,57722120.28
2020,Ciudad de México,,Vivienda Usada,72,61933608.28
2020,Ciudad de México,junio,Vivienda Nueva,111,97600704.22
2020,Ciudad de México,,Vivienda Usada,127,99037245.58
2020,Coahuila de Zaragoza,enero,Vivienda Nueva,64,41449513.32
2020,Coahuila de Zaragoza,,Vivienda Usada,99,62415701.3
2020,Coahuila de Zaragoza,febrero,Vivienda Nueva,36,25129447.67
2020,Coahuila de Zaragoza,,Vivienda Usada,37,25402518.95
2020,Coahuila de Zaragoza,marzo,Vivienda Nueva,41,28391851.77
2020,Coahuila de Zaragoza,,Vivienda Usada,48,34637430.9
2020,Coahuila de Zaragoza,abril,Vivienda Nueva,34,22108366.97
2020,Coahuila de Zaragoza,,Vivienda Usada,26,18317836.38
2020,Coahuila de Zaragoza,mayo,Vivienda Nueva,38,26208000.88
2020,Coahuila de Zaragoza,,Vivienda Usada,37,25128706.3
2020,Coahuila de Zaragoza,junio,Vivienda Nueva,74,57196707.16
2020,Coahuila de Zaragoza,,Vivienda Usada,44,33751865.05
2020,Colima,enero,Vivienda Nueva,50,32539046.56
2020,Colima,,Vivienda Usada,41,24161013.49
2020,Colima,febrero,Vivienda Nueva,22,12082311.94
2020,Colima,,Vivienda Usada,6,3366691.78
2020,Colima,marzo,Vivienda Nueva,21,12454338.71
2020,Colima,,Vivienda Usada,10,5938858.03
2020,Colima,abril,Vivienda Nueva,15,9109711.61
2020,Colima,,Vivienda Usada,6,2957003.42
2020,Colima,mayo,Vivienda Nueva,18,12554141.87
2020,Colima,,Vivienda Usada,4,2815335.6
2020,Colima,junio,Vivienda Nueva,48,33557533.12
2020,Colima,,Vivienda Usada,24,17146827.33
2020,Durango,enero,Vivienda Nueva,69,43074997.37
2020,Durango,,Vivienda Usada,52,32928695.16
2020,Durango,febrero,Vivienda Nueva,21,12620896.43
2020,Durango,,Vivienda Usada,17,8182969.4
2020,Durango,marzo,Vivienda Nueva,31,18457617.4
2020,Durango,,Vivienda Usada,18,11018880.61
2020,Durango,abril,Vivienda Nueva,26,15137970.86
2020,Durango,,Vivienda Usada,25,16915740.14
2020,Durango,mayo,Vivienda Nueva,22,13396554.24
2020,Durango,,Vivienda Usada,14,9020589.31
2020,Durango,junio,Vivienda Nueva,65,40407799.87
2020,Durango,,Vivienda Usada,33,24142125.51
2020,Guanajuato,enero,Vivienda Nueva,160,106044648.4
2020,Guanajuato,,Vivienda Usada,87,55382067.37
2020,Guanajuato,febrero,Vivienda Nueva,67,45522572.12
2020,Guanajuato,,Vivienda Usada,47,32349400.61
2020,Guanajuato,marzo,Vivienda Nueva,77,55699083.05
2020,Guanajuato,,Vivienda Usada,84,61485816.07
2020,Guanajuato,abril,Vivienda Nueva,48,33172410.25
2020,Guanajuato,,Vivienda Usada,35,24139632.28
2020,Guanajuato,mayo,Vivienda Nueva,42,24835925.75
2020,Guanajuato,,Vivienda Usada,29,18419578.97
2020,Guanajuato,junio,Vivienda Nueva,129,86787706.4
2020,Guanajuato,,Vivienda Usada,33,24440389.93
2020,Guerrero,enero,Vivienda Nueva,160,115470410.3
2020,Guerrero,,Vivienda Usada,103,70933618.41
2020,Guerrero,febrero,Vivienda Nueva,41,27561212.87
2020,Guerrero,,Vivienda Usada,36,25470751.82
2020,Guerrero,marzo,Vivienda Nueva,42,31380753.22
2020,Guerrero,,Vivienda Usada,168,119059545.6
2020,Guerrero,abril,Vivienda Nueva,54,35579315.63
2020,Guerrero,,Vivienda Usada,66,47562480.22
2020,Guerrero,mayo,Vivienda Nueva,34,22925392.48
2020,Guerrero,,Vivienda Usada,46,34193873.55
2020,Guerrero,junio,Vivienda Nueva,72,49893314.06
2020,Guerrero,,Vivienda Usada,71,55640469.93
2020,Hidalgo,enero,Vivienda Nueva,314,238060587.3
2020,Hidalgo,,Vivienda Usada,125,86857098.48
2020,Hidalgo,febrero,Vivienda Nueva,105,79157133.58
2020,Hidalgo,,Vivienda Usada,57,46136569.14
2020,Hidalgo,marzo,Vivienda Nueva,152,123263706.1
2020,Hidalgo,,Vivienda Usada,85,65443017.73
2020,Hidalgo,abril,Vivienda Nueva,74,58805128.91
2020,Hidalgo,,Vivienda Usada,49,40844202.33
2020,Hidalgo,mayo,Vivienda Nueva,101,77081124.08
2020,Hidalgo,,Vivienda Usada,62,50106089.37
2020,Hidalgo,junio,Vivienda Nueva,240,183298453
2020,Hidalgo,,Vivienda Usada,95,75355664
2020,Jalisco,enero,Vivienda Nueva,90,61761929.57
2020,Jalisco,,Vivienda Usada,73,51818801.25
2020,Jalisco,febrero,Vivienda Nueva,38,22464906.98
2020,Jalisco,,Vivienda Usada,21,16352444.59
2020,Jalisco,marzo,Vivienda Nueva,48,34971768.2
2020,Jalisco,,Vivienda Usada,27,19262410.22
2020,Jalisco,abril,Vivienda Nueva,50,36530745.9
2020,Jalisco,,Vivienda Usada,23,17411264.51
2020,Jalisco,mayo,Vivienda Nueva,47,37010069.97
2020,Jalisco,,Vivienda Usada,13,10217973.88
2020,Jalisco,junio,Vivienda Nueva,85,59355023.25
2020,Jalisco,,Vivienda Usada,19,15597957.13
2020,Michoacán de Ocampo,enero,Vivienda Nueva,136,84332297.89
2020,Michoacán de Ocampo,,Vivienda Usada,71,48330478.41
2020,Michoacán de Ocampo,febrero,Vivienda Nueva,70,40839548.48
2020,Michoacán de Ocampo,,Vivienda Usada,64,45142906.61
2020,Michoacán de Ocampo,marzo,Vivienda Nueva,79,48773853.97
2020,Michoacán de Ocampo,,Vivienda Usada,114,84445484.53
2020,Michoacán de Ocampo,abril,Vivienda Nueva,67,40624963.54
2020,Michoacán de Ocampo,,Vivienda Usada,35,25182956.5
2020,Michoacán de Ocampo,mayo,Vivienda Nueva,67,42324430.59
2020,Michoacán de Ocampo,,Vivienda Usada,33,21196572.44
2020,Michoacán de Ocampo,junio,Vivienda Nueva,130,80334846.19
2020,Michoacán de Ocampo,,Vivienda Usada,63,41669391.88
2020,Morelos,enero,Vivienda Nueva,143,126861067.9
2020,Morelos,,Vivienda Usada,77,54230258.4
2020,Morelos,febrero,Vivienda Nueva,94,89671769.12
2020,Morelos,,Vivienda Usada,41,31686806.4
2020,Morelos,marzo,Vivienda Nueva,147,145042476.5
2020,Morelos,,Vivienda Usada,57,45456384.19
2020,Morelos,abril,Vivienda Nueva,85,86912130.89
2020,Morelos,,Vivienda Usada,38,28213181.75
2020,Morelos,mayo,Vivienda Nueva,128,134817696.2
2020,Morelos,,Vivienda Usada,31,23839213.35
2020,Morelos,junio,Vivienda Nueva,165,162166588.2
2020,Morelos,,Vivienda Usada,48,38820908.34
2020,México,enero,Vivienda Nueva,374,282315830.5
2020,México,,Vivienda Usada,240,165413100.3
2020,México,febrero,Vivienda Nueva,119,86872988.75
2020,México,,Vivienda Usada,118,83537125.44
2020,México,marzo,Vivienda Nueva,195,140715310.1
2020,México,,Vivienda Usada,130,93709226.58
2020,México,abril,Vivienda Nueva,160,109758719.6
2020,México,,Vivienda Usada,62,48504869.66
2020,México,mayo,Vivienda Nueva,144,109159549.4
2020,México,,Vivienda Usada,48,33370577.6
2020,México,junio,Vivienda Nueva,283,209706673
2020,México,,Vivienda Usada,70,52517681.88
2020,Nayarit,enero,Vivienda Nueva,51,34526735.27
2020,Nayarit,,Vivienda Usada,38,27753799.52
2020,Nayarit,febrero,Vivienda Nueva,17,12663767.76
2020,Nayarit,,Vivienda Usada,18,11871116.18
2020,Nayarit,marzo,Vivienda Nueva,37,26139144.84
2020,Nayarit,,Vivienda Usada,30,21846436.48
2020,Nayarit,abril,Vivienda Nueva,22,14193880.29
2020,Nayarit,,Vivienda Usada,14,12800598.63
2020,Nayarit,mayo,Vivienda Nueva,30,19214801.66
2020,Nayarit,,Vivienda Usada,5,4848829.1
2020,Nayarit,junio,Vivienda Nueva,32,22509894.34
2020,Nayarit,,Vivienda Usada,27,20798066.05
2020,Nuevo León,enero,Vivienda Nueva,95,50553403.04
2020,Nuevo León,,Vivienda Usada,80,49216954.47
2020,Nuevo León,febrero,Vivienda Nueva,51,30698270.52
2020,Nuevo León,,Vivienda Usada,43,25741482.47
2020,Nuevo León,marzo,Vivienda Nueva,35,21613583.74
2020,Nuevo León,,Vivienda Usada,28,18684038.32
2020,Nuevo León,abril,Vivienda Nueva,14,8983997.31
2020,Nuevo León,,Vivienda Usada,2,1393543.15
2020,Nuevo León,mayo,Vivienda Nueva,37,22138447.16
2020,Nuevo León,,Vivienda Usada,6,5361766.44
2020,Nuevo León,junio,Vivienda Nueva,113,76153331.77
2020,Nuevo León,,Vivienda Usada,19,14908932.73
2020,Oaxaca,enero,Vivienda Nueva,44,26965406.65
2020,Oaxaca,,Vivienda Usada,92,67799050.13
2020,Oaxaca,febrero,Vivienda Nueva,39,23336514.49
2020,Oaxaca,,Vivienda Usada,71,53556854.82
2020,Oaxaca,marzo,Vivienda Nueva,47,36695766.87
2020,Oaxaca,,Vivienda Usada,131,95809149.13
2020,Oaxaca,abril,Vivienda Nueva,34,22080531.51
2020,Oaxaca,,Vivienda Usada,60,41956150.28
2020,Oaxaca,mayo,Vivienda Nueva,16,12112842.34
2020,Oaxaca,,Vivienda Usada,31,21399316.09
2020,Oaxaca,junio,Vivienda Nueva,39,30302856.4
2020,Oaxaca,,Vivienda Usada,49,35057741.36
2020,Puebla,enero,Vivienda Nueva,158,105434763
2020,Puebla,,Vivienda Usada,98,66763874.79
2020,Puebla,febrero,Vivienda Nueva,85,56054650.97
2020,Puebla,,Vivienda Usada,69,50363837.67
2020,Puebla,marzo,Vivienda Nueva,99,67862879.2
2020,Puebla,,Vivienda Usada,117,89050392.35
2020,Puebla,abril,Vivienda Nueva,54,38653421.72
2020,Puebla,,Vivienda Usada,53,40125867.55
2020,Puebla,mayo,Vivienda Nueva,67,49466019.82
2020,Puebla,,Vivienda Usada,36,28346458.25
2020,Puebla,junio,Vivienda Nueva,120,87083997.92
2020,Puebla,,Vivienda Usada,76,57166965.86
2020,Querétaro,enero,Vivienda Nueva,173,119204794.1
2020,Querétaro,,Vivienda Usada,27,17534916.93
2020,Querétaro,febrero,Vivienda Nueva,44,30525794.44
2020,Querétaro,,Vivienda Usada,11,7737294.4
2020,Querétaro,marzo,Vivienda Nueva,53,36612070.92
2020,Querétaro,,Vivienda Usada,20,14724884.54
2020,Querétaro,abril,Vivienda Nueva,40,30036408.36
2020,Querétaro,,Vivienda Usada,5,3104628.33
2020,Querétaro,mayo,Vivienda Nueva,34,28174931.12
2020,Querétaro,,Vivienda Usada,7,6799255.58
2020,Querétaro,junio,Vivienda Nueva,118,90635310.36
2020,Querétaro,,Vivienda Usada,16,13312541.61
2020,Quintana Roo,enero,Vivienda Nueva,223,141073831.1
2020,Quintana Roo,,Vivienda Usada,58,36107659.91
2020,Quintana Roo,febrero,Vivienda Nueva,42,27822291.86
2020,Quintana Roo,,Vivienda Usada,17,11797166.81
2020,Quintana Roo,marzo,Vivienda Nueva,67,50860891.09
2020,Quintana Roo,,Vivienda Usada,15,11457104.59
2020,Quintana Roo,abril,Vivienda Nueva,57,44220879.31
2020,Quintana Roo,,Vivienda Usada,9,7588960.43
2020,Quintana Roo,mayo,Vivienda Nueva,45,34266320.55
2020,Quintana Roo,,Vivienda Usada,9,7236374.17
2020,Quintana Roo,junio,Vivienda Nueva,131,86743130.2
2020,Quintana Roo,,Vivienda Usada,22,17287375.88
2020,San Luis Potosí,enero,Vivienda Nueva,97,62651856.55
2020,San Luis Potosí,,Vivienda Usada,66,42670110.19
2020,San Luis Potosí,febrero,Vivienda Nueva,41,27646793.38
2020,San Luis Potosí,,Vivienda Usada,26,18436732.51
2020,San Luis Potosí,marzo,Vivienda Nueva,69,50045061.37
2020,San Luis Potosí,,Vivienda Usada,78,55820480.43
2020,San Luis Potosí,abril,Vivienda Nueva,40,26634450.95
2020,San Luis Potosí,,Vivienda Usada,29,19545633.65
2020,San Luis Potosí,mayo,Vivienda Nueva,41,28605982.29
2020,San Luis Potosí,,Vivienda Usada,25,17599172.56
2020,San Luis Potosí,junio,Vivienda Nueva,66,46879550.5
2020,San Luis Potosí,,Vivienda Usada,37,26904051.07
2020,Sinaloa,enero,Vivienda Nueva,170,128577236.4
2020,Sinaloa,,Vivienda Usada,128,83003190.13
2020,Sinaloa,febrero,Vivienda Nueva,53,40159149.85
2020,Sinaloa,,Vivienda Usada,23,13393035.73
2020,Sinaloa,marzo,Vivienda Nueva,75,57362136.46
2020,Sinaloa,,Vivienda Usada,34,23283795.01
2020,Sinaloa,abril,Vivienda Nueva,59,43190107.96
2020,Sinaloa,,Vivienda Usada,27,22180316.72
2020,Sinaloa,mayo,Vivienda Nueva,57,43762652.02
2020,Sinaloa,,Vivienda Usada,26,18092370.05
2020,Sinaloa,junio,Vivienda Nueva,84,66064516.19
2020,Sinaloa,,Vivienda Usada,42,31327607.87
2020,Sonora,enero,Vivienda Nueva,92,75976740.82
2020,Sonora,,Vivienda Usada,93,66959375.22
2020,Sonora,febrero,Vivienda Nueva,36,31375772.7
2020,Sonora,,Vivienda Usada,34,27432614.52
2020,Sonora,marzo,Vivienda Nueva,26,22294581.53
2020,Sonora,,Vivienda Usada,36,30952016.12
2020,Sonora,abril,Vivienda Nueva,24,22458878.44
2020,Sonora,,Vivienda Usada,19,15802291.97
2020,Sonora,mayo,Vivienda Nueva,30,21814383.79
2020,Sonora,,Vivienda Usada,14,10868376.35
2020,Sonora,junio,Vivienda Nueva,32,27159209.36
2020,Sonora,,Vivienda Usada,31,25097407.19
2020,Tabasco,enero,Vivienda Nueva,15,12073316.61
2020,Tabasco,,Vivienda Usada,66,43775547.91
2020,Tabasco,febrero,Vivienda Nueva,13,9498603.93
2020,Tabasco,,Vivienda Usada,29,21147636.84
2020,Tabasco,marzo,Vivienda Nueva,16,10535723.98
2020,Tabasco,,Vivienda Usada,86,64772632.46
2020,Tabasco,abril,Vivienda Nueva,8,6563987.13
2020,Tabasco,,Vivienda Usada,32,25504670.77
2020,Tabasco,mayo,Vivienda Nueva,3,2677860.94
2020,Tabasco,,Vivienda Usada,16,12753113.44
2020,Tabasco,junio,Vivienda Nueva,10,8363280.11
2020,Tabasco,,Vivienda Usada,16,15301979.42
2020,Tamaulipas,enero,Vivienda Nueva,30,20385864.67
2020,Tamaulipas,,Vivienda Usada,127,89043093.55
2020,Tamaulipas,febrero,Vivienda Nueva,15,10496772.21
2020,Tamaulipas,,Vivienda Usada,70,45985076.19
2020,Tamaulipas,marzo,Vivienda Nueva,7,3634774.35
2020,Tamaulipas,,Vivienda Usada,120,81206358.53
2020,Tamaulipas,abril,Vivienda Nueva,20,13012494.05
2020,Tamaulipas,,Vivienda Usada,60,45180844.1
2020,Tamaulipas,mayo,Vivienda Nueva,12,8482350.56
2020,Tamaulipas,,Vivienda Usada,67,55951869.9
2020,Tamaulipas,junio,Vivienda Nueva,25,18941359.37
2020,Tamaulipas,,Vivienda Usada,101,79836682.43
2020,Tlaxcala,enero,Vivienda Nueva,26,16162981.45
2020,Tlaxcala,,Vivienda Usada,52,36754655.37
2020,Tlaxcala,febrero,Vivienda Nueva,8,5782266.35
2020,Tlaxcala,,Vivienda Usada,21,16551725.78
2020,Tlaxcala,marzo,Vivienda Nueva,10,6300205.7
2020,Tlaxcala,,Vivienda Usada,45,33227784.02
2020,Tlaxcala,abril,Vivienda Nueva,10,6218441.58
2020,Tlaxcala,,Vivienda Usada,20,15407375.88
2020,Tlaxcala,mayo,Vivienda Nueva,4,3015613.75
2020,Tlaxcala,,Vivienda Usada,24,17983752.98
2020,Tlaxcala,junio,Vivienda Nueva,20,14071573.55
2020,Tlaxcala,,Vivienda Usada,42,36176685.46
2020,Veracruz de Ignacio de la Llave,enero,Vivienda Nueva,126,93405888.37
2020,Veracruz de Ignacio de la Llave,,Vivienda Usada,279,193228546.5
2020,Veracruz de Ignacio de la Llave,febrero,Vivienda Nueva,50,32173637.39
2020,Veracruz de Ignacio de la Llave,,Vivienda Usada,187,144004466.5
2020,Veracruz de Ignacio de la Llave,marzo,Vivienda Nueva,108,77867714
2020,Veracruz de Ignacio de la Llave,,Vivienda Usada,335,259645630.7
2020,Veracruz de Ignacio de la Llave,abril,Vivienda Nueva,44,27215161.7
2020,Veracruz de Ignacio de la Llave,,Vivienda Usada,124,95209610.69
2020,Veracruz de Ignacio de la Llave,mayo,Vivienda Nueva,61,45743247.35
2020,Veracruz de Ignacio de la Llave,,Vivienda Usada,111,82882939.62
2020,Veracruz de Ignacio de la Llave,junio,Vivienda Nueva,113,70751393.89
2020,Veracruz de Ignacio de la Llave,,Vivienda Usada,197,155421022.4
2020,Yucatán,enero,Vivienda Nueva,159,108516711.8
2020,Yucatán,,Vivienda Usada,77,48820146.99
2020,Yucatán,febrero,Vivienda Nueva,47,33005075.8
2020,Yucatán,,Vivienda Usada,23,15894052.83
